Date,Time,TV,Home,Away,Location,Spread
"Thu, Sep 4",8:20 PM,NBC/Peacock,site.philadelphia_logo,site.dallas_logo,Philadelphia,TBD
"Fri, Sep 5",8:00 PM,YouTube,site.losangeles_chargers_logo,site.kansascity_logo,Sao Paulo,TBD
"Sun, Sep 7",1:00 PM,FOX,site.atlanta_logo,site.tampabay_logo,Atlanta,TBD
"Sun, Sep 7",1:00 PM,FOX,site.cleveland_logo,site.cincinnati_logo,Cleveland,TBD
"Sun, Sep 7",1:00 PM,CBS,site.indianapolis_logo,site.miami_logo,Indianapolis,TBD
"Sun, Sep 7",1:00 PM,CBS,site.newengland_logo,site.lasvegas_logo,Foxborough,TBD
"Sun, Sep 7",1:00 PM,CBS,site.neworleans_logo,site.arizona_logo,New Orleans,TBD
"Sun, Sep 7",1:00 PM,CBS,site.newyork_jets_logo,site.pittsburgh_logo,East Rutherford,TBD
"Sun, Sep 7",1:00 PM,FOX,site.washington_logo,site.newyork_giants_logo,Landover,TBD
"Sun, Sep 7",1:00 PM,FOX,site.jacksonville_logo,site.carolina_logo,Jacksonville,TBD
"Sun, Sep 7",4:05 PM,FOX,site.denver_logo,site.tennessee_logo,Denver,TBD
"Sun, Sep 7",4:05 PM,FOX,site.seattle_logo,site.sanfrancisco_logo,Seattle,TBD
"Sun, Sep 7",4:25 PM,CBS,site.greenbay_logo,site.detroit_logo,Green Bay,TBD
"Sun, Sep 7",4:25 PM,CBS,site.losangeles_rams_logo,site.houston_logo,Inglewood,TBD
"Sun, Sep 7",8:20 PM,NBC,site.buffalo_logo,site.baltimore_logo,Orchard Park,TBD
"Mon, Sep 8",8:15 PM,ABC/ESPN,site.chicago_logo,site.minnesota_logo,Chicago,TBD